timestamp,bench id,lat,lng,column a,column b,column c,column d,column e,column f,column g,column h,column i,column j,column k,column l,column m,column n,column o,column p
80317101714,14682000806546,42.360188,-71.090752,6,2.33,0,1.88,-1.86,1.03,262.82,0.2,-0.35,10.87,-7,-55.55,-22.45,0.08,0.1,0.09
80317101722,14682000806546,42.360279,-71.090775,1,1.58,0,1.58,-2.11,11.47,38.32,2.12,-0.39,10.43,30.36,24,-41.22,0,0.09,-0.17
80317101822,14682000806546,42.360287,-71.090744,5,1.15,0,1.22,1.29,-23.48,312.81,-4.16,0.24,9.57,35.45,-38.27,9.29,0.06,0.13,-0.04
80317101920,14682000806546,42.360287,-71.090744,5,1.26,0,1.52,14.58,8.46,300.11,1.49,2.55,9.69,31,-53.45,1.43,0.01,0.12,0.04
80317101838,14682000806546,42.360287,-71.090744,5,1.3,0,1.81,10.8,11.97,0,2.43,2.2,11.26,0,0,0,0.05,0.1,-0.01
80317101855,14682000806546,42.360287,-71.090744,5,1.21,0,1.62,-13.04,33.22,318.22,2.67,-1.1,3.92,27.27,-24.36,16.63,0,0.1,-0.05
80317101739,14682000806546,42.360287,-71.090744,4,2.4,0,0.69,-4.38,-2.5,332.79,-0.47,-0.82,10.75,45.09,-23.18,22.14,0.05,0.09,0.52
80317101805,14682000806546,42.360287,-71.090744,2,1.86,0,0.34,-1.37,0.46,327.3,0.08,-0.24,9.81,44.18,-28.36,21.53,0,0.09,0
80317101748,14682000806546,42.360287,-71.090744,5,2.32,0,0.26,-1.15,0.46,334.81,0.08,-0.2,9.81,44.45,-20.91,21.22,0,0.09,0
80317101757,14682000806546,42.360287,-71.090744,2,1.9,0,0.23,-0.99,0.74,327.66,0.12,-0.16,9.06,42.64,-27,13.47,0,0.09,0
80317101731,14682000806546,42.360287,-71.090744,0,1.57,0,0.11,-1.15,0.46,321.36,0.08,-0.2,9.81,85.27,-68.18,0.71,0,0.09,0
80317101904,14682000806546,42.360287,-71.090744,5,1.32,0,1.1,-30.69,13.22,334.36,2.2,-4.9,7.96,38.45,-18.45,16.94,0.06,0.09,-0.03
80317101937,14682000806546,42.360287,-71.090744,5,1.09,0,1.82,13.65,7.63,339.75,1.41,2.51,10.24,51,-18.82,-9.18,-0.06,0.09,-0.03
80317101929,14682000806546,42.360287,-71.090744,5,1.21,0,1.74,19.65,18.54,307.39,4.08,4.31,11.38,29.45,-38.55,-8.47,0.03,0.09,-0.04
80317101847,14682000806546,42.360287,-71.090744,5,1.12,0,1.72,-1.98,4.61,324.95,0.82,-0.35,10.2,42.64,-29.91,23.47,0.05,0.09,-0.05
80317101813,14682000806546,42.360287,-71.090744,5,1.62,0,1.14,-4.3,4.3,346.65,0.78,-0.78,10.4,71.27,-16.91,14.08,-0.02,0.06,0.11
80317101912,14682000806546,42.360287,-71.090744,5,1.14,0,1.68,-18.94,-11.94,339.55,-2.55,-4,11.38,36.82,-13.73,-11.84,-0.01,0.06,0.08
