timestamp,bench id,lat,lng,indicator  a,indicator b,indicator c,indicator d,indicator e,indicator f,indicator g,indicator h,indicator i,indicator j,indicator  k,indicator l,indicator m,indicator n,indicator  o,indicator p
080317095258,014682000781772,0.00000000,0.000000000,816,0.05,0,0.04,-1.88,-1.41,312.27,-0.24,-0.31,9.57,59.91,-65.91,20.61,0.01,0.02,-0.01
080317095652,014682000781772,42.35934100,-71.093414000,545,1.70,1,0.07,-0.94,1.41,320.71,0.24,-0.16,9.53,91.00,-74.45,16.63,0.01,0.02,-0.01
080317095700,014682000781772,42.35936700,-71.093353000,518,1.56,1,0.18,-0.23,0.70,320.77,0.12,-0.04,9.69,91.09,-74.36,16.53,0.02,0.01,0.00
080317095708,014682000781772,42.35939000,-71.093315000,517,-0.11,1,0.09,-0.47,-5.15,322.13,-0.86,-0.08,9.57,95.64,-74.36,19.49,0.01,0.11,0.01
080317095717,014682000781772,42.35939000,-71.093315000,563,1.94,1,0.29,-0.71,1.42,320.95,0.24,-0.12,9.49,91.45,-74.18,16.33,0.01,0.02,-0.01
080317095725,014682000781772,42.35939000,-71.093315000,572,1.59,2,0.13,-0.48,1.66,320.94,0.27,-0.08,9.45,91.09,-73.91,16.73,0.01,0.02,-0.01
080317095733,014682000781772,42.35939000,-71.093315000,533,2.30,4,0.06,-0.47,1.18,321.01,0.20,-0.08,9.53,90.64,-73.36,16.84,0.02,0.02,-0.01
080317095742,014682000781772,42.35939000,-71.093315000,549,1.69,5,0.14,-2.57,1.63,321.03,0.27,-0.43,9.61,90.91,-73.55,16.94,0.02,0.02,-0.00
080317095751,014682000781772,42.35939000,-71.093315000,390,1.24,5,0.10,-0.47,1.18,321.06,0.20,-0.08,9.53,91.00,-73.55,16.94,0.01,0.02,-0.01
080317095759,014682000781772,42.35939000,-71.093338000,166,2.11,5,0.02,-0.24,1.41,321.12,0.24,-0.04,9.53,90.64,-73.09,16.94,0.02,0.02,-0.01
080317095807,014682000781772,42.35939000,-71.093338000,171,2.31,5,0.71,3.74,1.40,321.10,0.24,0.63,9.61,90.45,-73.00,17.14,0.02,0.02,-0.01
080317095816,014682000781772,42.35939000,-71.093338000,168,2.26,5,0.10,-0.71,1.65,320.92,0.27,-0.12,9.53,90.45,-73.45,16.84,0.01,0.02,-0.01
080317095824,014682000781772,42.35939000,-71.093338000,162,2.24,5,0.50,-1.43,0.95,321.02,0.16,-0.24,9.45,90.55,-73.27,16.94,0.02,0.02,-0.01
080317095833,014682000781772,42.35939000,-71.093315000,153,2.02,5,0.05,-0.95,1.67,321.02,0.27,-0.16,9.41,90.55,-73.27,16.94,0.01,0.02,-0.00
080317095840,014682000781772,42.35939000,-71.093315000,168,2.00,5,0.04,-1.17,1.41,320.89,0.24,-0.20,9.57,90.36,-73.45,16.84,0.01,0.02,-0.01
080317095849,014682000781772,42.35939000,-71.093315000,166,2.00,5,0.05,-0.71,1.18,320.98,0.20,-0.12,9.53,90.18,-73.09,17.04,0.02,0.02,-0.01
080317095857,014682000781772,42.35939000,-71.093315000,166,2.00,5,0.04,-0.95,1.66,320.90,0.27,-0.16,9.45,90.27,-73.36,16.84,0.01,0.02,-0.01
